DateNum,Date,YearMonthNum,Calendar_Quarter,MonthNum,MonthName,MonthShortName,WeekNum,DayNumOfYear,DayNumOfMonth,DayNumOfWeek,DayName,DayShortName,Quarter,YearQuarterNum,DayNumOfQuarter
20210101,1-1-2021,202101,Qtr 1,1,January,Jan,53,1,1,6,Friday,Fri,1,20211,1
20210102,1-2-2021,202101,Qtr 1,1,January,Jan,53,2,2,7,Saturday,Sat,1,20211,2
20210103,1-3-2021,202101,Qtr 1,1,January,Jan,53,3,3,1,Sunday,Sun,1,20211,3
20210104,1-4-2021,202101,Qtr 1,1,January,Jan,1,4,4,2,Monday,Mon,1,20211,4
20210105,1-5-2021,202101,Qtr 1,1,January,Jan,1,5,5,3,Tuesday,Tue,1,20211,5
20210106,1-6-2021,202101,Qtr 1,1,January,Jan,1,6,6,4,Wednesday,Wed,1,20211,6
20210107,1-7-2021,202101,Qtr 1,1,January,Jan,1,7,7,5,Thursday,Thu,1,20211,7
20210108,1-8-2021,202101,Qtr 1,1,January,Jan,1,8,8,6,Friday,Fri,1,20211,8
20210109,1-9-2021,202101,Qtr 1,1,January,Jan,1,9,9,7,Saturday,Sat,1,20211,9
20210110,1-10-2021,202101,Qtr 1,1,January,Jan,1,10,10,1,Sunday,Sun,1,20211,10
20210111,1-11-2021,202101,Qtr 1,1,January,Jan,2,11,11,2,Monday,Mon,1,20211,11
20210112,1-12-2021,202101,Qtr 1,1,January,Jan,2,12,12,3,Tuesday,Tue,1,20211,12
20210113,1-13-2021,202101,Qtr 1,1,January,Jan,2,13,13,4,Wednesday,Wed,1,20211,13
20210114,1-14-2021,202101,Qtr 1,1,January,Jan,2,14,14,5,Thursday,Thu,1,20211,14
20210115,1-15-2021,202101,Qtr 1,1,January,Jan,2,15,15,6,Friday,Fri,1,20211,15
20210116,1-16-2021,202101,Qtr 1,1,January,Jan,2,16,16,7,Saturday,Sat,1,20211,16
20210117,1-17-2021,202101,Qtr 1,1,January,Jan,2,17,17,1,Sunday,Sun,1,20211,17
20210118,1-18-2021,202101,Qtr 1,1,January,Jan,3,18,18,2,Monday,Mon,1,20211,18
20210119,1-19-2021,202101,Qtr 1,1,January,Jan,3,19,19,3,Tuesday,Tue,1,20211,19
20210120,1-20-2021,202101,Qtr 1,1,January,Jan,3,20,20,4,Wednesday,Wed,1,20211,20
20210121,1-21-2021,202101,Qtr 1,1,January,Jan,3,21,21,5,Thursday,Thu,1,20211,21
20210122,1-22-2021,202101,Qtr 1,1,January,Jan,3,22,22,6,Friday,Fri,1,20211,22
20210123,1-23-2021,202101,Qtr 1,1,January,Jan,3,23,23,7,Saturday,Sat,1,20211,23
20210124,1-24-2021,202101,Qtr 1,1,January,Jan,3,24,24,1,Sunday,Sun,1,20211,24
20210125,1-25-2021,202101,Qtr 1,1,January,Jan,4,25,25,2,Monday,Mon,1,20211,25
20210126,1-26-2021,202101,Qtr 1,1,January,Jan,4,26,26,3,Tuesday,Tue,1,20211,26
20210127,1-27-2021,202101,Qtr 1,1,January,Jan,4,27,27,4,Wednesday,Wed,1,20211,27
20210128,1-28-2021,202101,Qtr 1,1,January,Jan,4,28,28,5,Thursday,Thu,1,20211,28
20210129,1-29-2021,202101,Qtr 1,1,January,Jan,4,29,29,6,Friday,Fri,1,20211,29
20210130,1-30-2021,202101,Qtr 1,1,January,Jan,4,30,30,7,Saturday,Sat,1,20211,30
20210131,1-31-2021,202101,Qtr 1,1,January,Jan,4,31,31,1,Sunday,Sun,1,20211,31
20210201,2-1-2021,202102,Qtr 1,2,February,Feb,5,32,1,2,Monday,Mon,1,20211,32
20210202,2-2-2021,202102,Qtr 1,2,February,Feb,5,33,2,3,Tuesday,Tue,1,20211,33
20210203,2-3-2021,202102,Qtr 1,2,February,Feb,5,34,3,4,Wednesday,Wed,1,20211,34
20210204,2-4-2021,202102,Qtr 1,2,February,Feb,5,35,4,5,Thursday,Thu,1,20211,35
20210205,2-5-2021,202102,Qtr 1,2,February,Feb,5,36,5,6,Friday,Fri,1,20211,36
20210206,2-6-2021,202102,Qtr 1,2,February,Feb,5,37,6,7,Saturday,Sat,1,20211,37
20210207,2-7-2021,202102,Qtr 1,2,February,Feb,5,38,7,1,Sunday,Sun,1,20211,38
20210208,2-8-2021,202102,Qtr 1,2,February,Feb,6,39,8,2,Monday,Mon,1,20211,39
20210209,2-9-2021,202102,Qtr 1,2,February,Feb,6,40,9,3,Tuesday,Tue,1,20211,40
20210210,2-10-2021,202102,Qtr 1,2,February,Feb,6,41,10,4,Wednesday,Wed,1,20211,41
20210211,2-11-2021,202102,Qtr 1,2,February,Feb,6,42,11,5,Thursday,Thu,1,20211,42
20210212,2-12-2021,202102,Qtr 1,2,February,Feb,6,43,12,6,Friday,Fri,1,20211,43
20210213,2-13-2021,202102,Qtr 1,2,February,Feb,6,44,13,7,Saturday,Sat,1,20211,44
20210214,2-14-2021,202102,Qtr 1,2,February,Feb,6,45,14,1,Sunday,Sun,1,20211,45
20210215,2-15-2021,202102,Qtr 1,2,February,Feb,7,46,15,2,Monday,Mon,1,20211,46
20210216,2-16-2021,202102,Qtr 1,2,February,Feb,7,47,16,3,Tuesday,Tue,1,20211,47
20210217,2-17-2021,202102,Qtr 1,2,February,Feb,7,48,17,4,Wednesday,Wed,1,20211,48
20210218,2-18-2021,202102,Qtr 1,2,February,Feb,7,49,18,5,Thursday,Thu,1,20211,49
20210219,2-19-2021,202102,Qtr 1,2,February,Feb,7,50,19,6,Friday,Fri,1,20211,50
20210220,2-20-2021,202102,Qtr 1,2,February,Feb,7,51,20,7,Saturday,Sat,1,20211,51
20210221,2-21-2021,202102,Qtr 1,2,February,Feb,7,52,21,1,Sunday,Sun,1,20211,52
20210222,2-22-2021,202102,Qtr 1,2,February,Feb,8,53,22,2,Monday,Mon,1,20211,53
20210223,2-23-2021,202102,Qtr 1,2,February,Feb,8,54,23,3,Tuesday,Tue,1,20211,54
20210224,2-24-2021,202102,Qtr 1,2,February,Feb,8,55,24,4,Wednesday,Wed,1,20211,55
20210225,2-25-2021,202102,Qtr 1,2,February,Feb,8,56,25,5,Thursday,Thu,1,20211,56
20210226,2-26-2021,202102,Qtr 1,2,February,Feb,8,57,26,6,Friday,Fri,1,20211,57
20210227,2-27-2021,202102,Qtr 1,2,February,Feb,8,58,27,7,Saturday,Sat,1,20211,58
20210228,2-28-2021,202102,Qtr 1,2,February,Feb,8,59,28,1,Sunday,Sun,1,20211,59
20210301,3-1-2021,202103,Qtr 1,3,March,Mar,9,60,1,2,Monday,Mon,1,20211,60
20210302,3-2-2021,202103,Qtr 1,3,March,Mar,9,61,2,3,Tuesday,Tue,1,20211,61
20210303,3-3-2021,202103,Qtr 1,3,March,Mar,9,62,3,4,Wednesday,Wed,1,20211,62
